Player;Rank;Points;Kill(s) Game 1;Kill(s) Game 2;Kill(s) Game 3;Kill(s) Game 4;Kill(s) Game 5;Kill(s) Game 6;Kill(s) Game 7;Kill(s) Game 8;Kill(s) Game 9;Kill(s) Game 10;Position Game 1;Position Game 2;Position Game 3;Position Game 4;Position Game 5;Position Game 6;Position Game 7;Position Game 8;Position Game 9;Position Game 10;Time Game 1;Time Game 2;Time Game 3;Time Game 4;Time Game 5;Time Game 6;Time Game 7;Time Game 8;Time Game 9;Time Game 10;Time Lobby 1;Time Lobby 2;Time Lobby 3;Time Lobby 4;Time Lobby 5;Time Lobby 6;Time Lobby 7;Time Lobby 8;Time Lobby 9;Time Lobby 10;Game Id 1;Game Id 2;Game Id 3;Game Id 4;Game Id 5;Game Id 6;Game Id 7;Game Id 8;Game Id 9;Game Id 10
Secret_Mongraal;1;87;4;7;0;3;5;0;5;0;16;4;1;6;65;23;8;96;18;95;1;5;1427;1436;348;1287;1441;88;1353;93;1500;1500;-19.0;-7.0;206.0;111.0;132.0;148.0;172.0;55.0;173.0;52.0;0427fd32fea54e0f98e4dea473a905ae;db6e47ae721b42bab90ea6f72be4cecc;04794b804e3a4c29aa028e0c0c3694f0;d3e6659a64934725a100a4c4a00756d8;b63f3f2673164615ab4f464791877b6c;19db76677676410781c3c38807a7a298;4fa4e5b746134e07bc304b570616ab88;05a1f95ffed54099959a2dbaf8320404;220dbad06a444d52b8543bcc784f7b58;84791dc635e8484b8c41f69836599b11
Fledermoys;2;77;3;5;0;4;2;2;5;4;;;1;1;54;9;37;4;1;1;;;1452;1448;607;1423;1173;1497;1509;1492;;;-7.0;19.0;123.0;62.0;175.0;-25.0;173.0;57.0;;;0727cf3f90c04048b25de7f9afa61387;e04d113911944380bcb2d5cb35e19a2f;04794b804e3a4c29aa028e0c0c3694f0;13ea323004ff4d87b0a1ab2e58f3bc40;15338389daf547ada8c3ded2b2ae7ac2;19db76677676410781c3c38807a7a298;05a1f95ffed54099959a2dbaf8320404;75c2fee41b5f4113827c0c856446c46a;;
GL Darkorino;3;76;0;4;5;3;3;3;0;4;0;;97;3;1;1;12;1;68;12;2;;103;1441;1416;1511;1397;1510;287;1454;1492;;33.0;-28.0;-12.0;39.0;151.0;226.0;76.0;-27.0;109.0;;103c8720482144b9b66bea23370477ca;3e8ff448ef2a4ec99158720a7129c1a3;ed9c9055d3564ef8a3cb384d1fd0a305;04794b804e3a4c29aa028e0c0c3694f0;686cb1840fa144fab0bb64a3fcd448c2;fad71681e7ca4d60bf90491d7b630848;ddf5e59d02514264b39d36bffccc48af;05a1f95ffed54099959a2dbaf8320404;75c2fee41b5f4113827c0c856446c46a;
a1ms0nz-;4;74;4;5;0;7;4;4;7;0;7;0;10;3;79;10;4;6;5;77;28;40;1340;1415;146;1382;1399;1443;1440;190;885;1045;-6.0;-18.0;112.0;8.0;68.0;204.0;34.0;214.0;58.0;33.0;03a0eb11e34245a38f958c0f7eff47b5;c63e64da668f492ab9b83627831e060d;ae04ad628fd94c6da0ac1d9a045ffeb3;006a9f52f79d442ab355c627ba4ebcbd;1f67c39622844cd2b6affe8ef39931b4;c99966c48d084d81a40da1e9bb332d18;b63da6b755b346cb88075f11b93a97f9;50fc3c71b7154ca293a81d61d578fba5;61d606ea92624aa3955e72f2c89ac636;94b5938d165d466aa71b2f63d22b5328
Siberia123;5;72;11;0;1;2;2;1;9;1;0;;1;54;87;1;7;15;1;11;57;;1464;558;106;1513;1367;1378;1528;1451;635;;0.0;431.0;235.0;54.0;88.0;238.0;91.0;70.0;109.0;;1e824cb7a9c14852957811986601a30b;44663a16140743e6a30b803afe73dcdd;671f8713aea049e88f5443ac3ac6ad4d;c663ab40764c4eab96dddba862e23d3c;1f67c39622844cd2b6affe8ef39931b4;c99966c48d084d81a40da1e9bb332d18;b63da6b755b346cb88075f11b93a97f9;50fc3c71b7154ca293a81d61d578fba5;9dad3588dc444b4694c0c04ba547a966;
wakie.;6;72;1;5;9;0;6;3;1;3;2;;73;8;1;70;2;1;14;6;53;;301;1378;1473;293;1495;1505;1362;1453;477;;14.0;-18.0;0.0;178.0;81.0;194.0;271.0;194.0;201.0;;95dc2ad209574797b7caa00d0cc6f147;5c2708efc1974c2b8625e0a1b02d4176;fb8b4c3fa5f844dcb8e0c3c41ca028c3;7021c061e3364deaaf1e57a508645a69;13ea323004ff4d87b0a1ab2e58f3bc40;32c547ad2584459f924aaca5efc5465b;87ff9ebfcedd41eeabadb581ed8069c2;36a69139bd5f4aa19a3a9f7ada6fb0ae;94b5938d165d466aa71b2f63d22b5328;
SNG Th0masHD;7;72;6;1;4;1;3;2;7;1;0;;1;35;1;21;4;2;19;83;4;;1444;1194;1520;1309;1458;1486;1334;159;1451;;-18.0;49.0;-26.0;17.0;-28.0;88.0;113.0;118.0;110.0;;179a0e0886a34648a2de52c64e1cbb9f;e04d113911944380bcb2d5cb35e19a2f;6ea4e3d9216846c687f964c506ad9a18;be35f0a514514114aa04052bf53702d2;43e7d05aeb954946897d67e3f1c800a5;74d72fa8a13548d2a720a388075c05a0;2d48bc70be674141944ebe1a42271fc6;84791dc635e8484b8c41f69836599b11;94b5938d165d466aa71b2f63d22b5328;
Secret_Milan;8;72;7;3;8;1;1;4;7;0;4;;24;48;3;52;63;6;2;7;1;;1276;597;1466;503;440;1410;1510;1460;1547;;7.0;26.0;-26.0;277.0;87.0;89.0;125.0;21.0;128.0;;19d86f5959ad45769d1fd977581f457e;be349fca895b4de3870f2db013e35e45;4d60d3da663a4a04a05bf6661a3ee09d;ecd561a620e14c0aa4fe335ee1906a47;be35f0a514514114aa04052bf53702d2;7c64e543e99c46d2b2e1711aca3f7694;fad71681e7ca4d60bf90491d7b630848;ddf5e59d02514264b39d36bffccc48af;61d606ea92624aa3955e72f2c89ac636;
K0nfetti_Twitch;9;71;1;4;2;1;6;1;2;0;0;;1;4;5;42;1;1;1;78;82;;1434;1422;1469;1058;1515;1477;1525;153;201;;-25.0;23.0;-3.0;113.0;35.0;118.0;81.0;148.0;141.0;;6e081f6478954c7e821457c9a095138a;daba90933e814933b11be17943289e08;c663ab40764c4eab96dddba862e23d3c;152df73977f94633a474c3de8b8536b3;52de285d4ebe4fed8f4d4f62b6c5de62;87ff9ebfcedd41eeabadb581ed8069c2;36a69139bd5f4aa19a3a9f7ada6fb0ae;94b5938d165d466aa71b2f63d22b5328;9dad3588dc444b4694c0c04ba547a966;
Atlantis K1nzell;10;71;14;0;1;0;1;0;5;6;1;1;1;88;49;61;8;96;1;5;10;12;1424;147;663;300;1401;106;1503;1477;1410;1400;94.0;93.0;132.0;168.0;-24.0;100.0;45.0;127.0;54.0;183.0;39646172a65c455a917fd7fa99566a69;f06f51905fe140b0be5e3fa5994c6ac1;44663a16140743e6a30b803afe73dcdd;78734aba8da44f61bdc824c98dd16c39;04794b804e3a4c29aa028e0c0c3694f0;1f67c39622844cd2b6affe8ef39931b4;686cb1840fa144fab0bb64a3fcd448c2;fad71681e7ca4d60bf90491d7b630848;ddf5e59d02514264b39d36bffccc48af;61d606ea92624aa3955e72f2c89ac636
