Player;Rank;Points;Kill(s) Game 1;Kill(s) Game 2;Kill(s) Game 3;Kill(s) Game 4;Kill(s) Game 5;Kill(s) Game 6;Kill(s) Game 7;Kill(s) Game 8;Kill(s) Game 9;Kill(s) Game 10;Position Game 1;Position Game 2;Position Game 3;Position Game 4;Position Game 5;Position Game 6;Position Game 7;Position Game 8;Position Game 9;Position Game 10;Time Game 1;Time Game 2;Time Game 3;Time Game 4;Time Game 5;Time Game 6;Time Game 7;Time Game 8;Time Game 9;Time Game 10;Time Lobby 1;Time Lobby 2;Time Lobby 3;Time Lobby 4;Time Lobby 5;Time Lobby 6;Time Lobby 7;Time Lobby 8;Time Lobby 9;Time Lobby 10;Game Id 1;Game Id 2;Game Id 3;Game Id 4;Game Id 5;Game Id 6;Game Id 7;Game Id 8;Game Id 9;Game Id 10
E11 Stompy;1;74;6;4;14;0;1;0;4;3;7;;20;11;3;96;74;19;13;2;8;;1382.0;1593.0;1541.0;225.0;499.0;1596.0;1459.0;1585.0;1710.0;;;;;;;;;;;;4debf6fb73a4496d80f1e717cf0ef3a7;0c746411a55444d39d98f74917343fac;19bb3304e39f44c1b4fc1b7996d5e659;283be34460954342ab8984c3eb308cbe;2aea6c237387481baaec605a915ef7e7;2da2c97d34b748fdb2b80899b4b5481a;3a566fa9e88243bca8370e59a3801f76;4294f180e8cf4501bfad193233664ca3;4bc5ca2e5a64453f85246aeae444093b;
TQ Prisi0n3r0;2;72;5;0;1;10;2;1;0;4;5;;4;69;16;1;5;69;96;3;1;;1548.0;628.0;1539.0;1645.0;1619.0;510.0;372.0;1725.0;1723.0;;;;;;;;;;;;0c7e3010217842c4811247b5d374dbc7;0e2398a6b2aa4fd4bce3498f20ed63b7;135e1ee4078c438dabe217d42314a7a9;220d3bdbfbb946ea9efd96f652686777;2da2c97d34b748fdb2b80899b4b5481a;3bbc29b32ebe44efac1725a102d24046;40b1e48f8d34440c9bcc06789280abdb;41beb62f24d5446ebf866a58c36a5547;4a61c9eefa8146a1b65c908a2d10df34;
NRG benjуfishу;3;68;5;0;6;3;0;1;8;8;4;3;7;82;7;38;71;81;3;12;6;17;1421.0;465.0;1641.0;1342.0;412.0;452.0;1557.0;1658.0;1739.0;1444.0;;;;;;;;;;;1e94dfe26ca7480db53592b735a2840f;0c746411a55444d39d98f74917343fac;100e7039d8fa489996658ff93e2563fe;1e953c618589461eb2554d7905ebe9a1;2aea6c237387481baaec605a915ef7e7;2da2c97d34b748fdb2b80899b4b5481a;2f050993ffb74a9aabde03320777a428;3f3cad9eaa564df3a156af736ffb9244;477474eee3574ba3b4d6d27a34f319af;4f692d25ab5f4375abcf1428a66643d2
hREDS BELAEU;4;67;2;6;4;1;1;1;5;0;0;11;20;2;7;24;16;63;15;60;82;1;1371.0;1490.0;1624.0;1459.0;1484.0;497.0;1538.0;638.0;587.0;1585.0;;;;;;;;;;;2a2d7b3548d14de59d9bb48a4e221522;0bc82c7fcae442e8b4a7066c5535b139;19bb3304e39f44c1b4fc1b7996d5e659;283be34460954342ab8984c3eb308cbe;31e8abff3ca24002acba3ec78f9a47a0;3f3cad9eaa564df3a156af736ffb9244;41beb62f24d5446ebf866a58c36a5547;49cfb57c53ca444894463392b7aa0e1a;4ecbdf227b624a51ae1ee654747351cc;4f692d25ab5f4375abcf1428a66643d2
Gambit.letw1k3;5;66;9;9;4;0;6;0;0;1;7;3;10;10;53;64;12;86;97;57;2;14;1398.0;1778.0;1011.0;612.0;1491.0;196.0;238.0;855.0;1732.0;1604.0;;;;;;;;;;;1e94dfe26ca7480db53592b735a2840f;0e2398a6b2aa4fd4bce3498f20ed63b7;1cf15780c9a24c5ba84fc29ff3ce4a5d;259ce41766ff40f888f23bef44b02261;2aea6c237387481baaec605a915ef7e7;3575cd3166824f3884786795615883b1;36bc36e9c98a4b45b392fb0f861b30b7;3a566fa9e88243bca8370e59a3801f76;40b1e48f8d34440c9bcc06789280abdb;48f76d410b9a4830a9443a8879fa96cb
LDLC Nayte;6;61;9;0;4;2;9;2;3;0;1;;1;86;18;18;1;31;8;62;62;;1498.0;478.0;1450.0;1527.0;1755.0;1424.0;1684.0;485.0;988.0;;;;;;;;;;;;9494931c51ca480a80eedbd5c5d588cc;0e2398a6b2aa4fd4bce3498f20ed63b7;1053f2ebc6f447be8dca342f9f78b563;1e953c618589461eb2554d7905ebe9a1;2be7f903e83c4cc9b4095910397b836c;3a566fa9e88243bca8370e59a3801f76;4294f180e8cf4501bfad193233664ca3;4bc5ca2e5a64453f85246aeae444093b;4ecbdf227b624a51ae1ee654747351cc;
S2V DiegoGB;7;61;3;3;0;4;2;3;5;0;2;5;45;24;89;6;8;3;4;53;71;5;1219.0;1420.0;306.0;1570.0;1529.0;1678.0;1583.0;544.0;414.0;1647.0;;;;;;;;;;;1e94dfe26ca7480db53592b735a2840f;0b09293e2cb54398a2ad57f665c5394d;174ca077f5194047a36a29ee09072e72;1a41f14a3cdc4505bbd19f8b90bd707c;283be34460954342ab8984c3eb308cbe;34969453878945998bec33f3b415d3cf;40b1e48f8d34440c9bcc06789280abdb;48f76d410b9a4830a9443a8879fa96cb;4bc5ca2e5a64453f85246aeae444093b;4ecbdf227b624a51ae1ee654747351cc
ÐRG;8;58;0;3;0;10;2;5;0;0;7;1;72;26;94;1;28;1;83;57;8;8;633.0;1416.0;197.0;1557.0;1401.0;1810.0;330.0;760.0;1930.0;1850.0;;;;;;;;;;;1e94dfe26ca7480db53592b735a2840f;07617f9d32864807a6cdf8a96e177a4e;105cda2d514d467fb39c9f67a54677d6;12f3c11dc3964e5bb12c55b728714f55;220d3bdbfbb946ea9efd96f652686777;2da2c97d34b748fdb2b80899b4b5481a;3bbc29b32ebe44efac1725a102d24046;3f3cad9eaa564df3a156af736ffb9244;4437c56e93224216a767f00b07b7a693;4ecbdf227b624a51ae1ee654747351cc
VGIA Khisanth;9;58;2;6;2;3;0;4;0;3;3;1;6;3;31;6;83;1;85;26;38;5;1450.0;1522.0;1300.0;1527.0;505.0;1571.0;321.0;1502.0;945.0;1610.0;;;;;;;;;;;4923e6ff07b7400d879dfe7256be2312;0c3e2f38b7db4d29907019879f70133b;19bb3304e39f44c1b4fc1b7996d5e659;259ce41766ff40f888f23bef44b02261;31e8abff3ca24002acba3ec78f9a47a0;3575cd3166824f3884786795615883b1;41beb62f24d5446ebf866a58c36a5547;4294f180e8cf4501bfad193233664ca3;4a61c9eefa8146a1b65c908a2d10df34;4f692d25ab5f4375abcf1428a66643d2
Solary Airwaks;10;58;8;0;4;1;2;0;4;0;2;;1;80;5;23;20;37;5;54;4;;1506.0;539.0;1741.0;1441.0;1609.0;1194.0;1802.0;533.0;1550.0;;;;;;;;;;;;d76eb8c5b3dc4850996fd4657601f84b;0e2398a6b2aa4fd4bce3498f20ed63b7;135e1ee4078c438dabe217d42314a7a9;220d3bdbfbb946ea9efd96f652686777;2da2c97d34b748fdb2b80899b4b5481a;3a566fa9e88243bca8370e59a3801f76;4294f180e8cf4501bfad193233664ca3;4bc5ca2e5a64453f85246aeae444093b;4ecbdf227b624a51ae1ee654747351cc;
drobban.;11;56;3;6;2;0;2;1;3;2;4;6;18;3;42;17;56;70;3;46;63;2;1314.0;1538.0;1227.0;1669.0;968.0;537.0;1629.0;1148.0;269.0;1646.0;;;;;;;;;;;1ece9be1a0c44e838317165f34241d65;0bc82c7fcae442e8b4a7066c5535b139;19bb3304e39f44c1b4fc1b7996d5e659;259ce41766ff40f888f23bef44b02261;31e8abff3ca24002acba3ec78f9a47a0;3a566fa9e88243bca8370e59a3801f76;3ec74ba4899c4236bf6d71ef20b02524;477474eee3574ba3b4d6d27a34f319af;4bc5ca2e5a64453f85246aeae444093b;4ecbdf227b624a51ae1ee654747351cc
LeStream Vato;12;56;0;4;6;2;1;2;0;4;2;;97;14;13;13;69;4;16;2;16;;197.0;1364.0;1610.0;1530.0;611.0;1668.0;1606.0;1846.0;1707.0;;;;;;;;;;;;00b2c2cb4bd74bf4acbc27146dee23a9;0283dbee88f0419ab2c734271a6ec829;0e1c7ffe2fcb419f8c28de2999a0ca77;1cf15780c9a24c5ba84fc29ff3ce4a5d;2aea6c237387481baaec605a915ef7e7;2da2c97d34b748fdb2b80899b4b5481a;3bbc29b32ebe44efac1725a102d24046;45e6e79eb0ec4109b5639dc09cc44227;4f692d25ab5f4375abcf1428a66643d2;
LeStream Blaxou;13;55;1;1;2;1;6;2;2;0;2;6;76;42;67;65;1;8;1;33;65;2;489.0;1314.0;419.0;366.0;1620.0;1587.0;1754.0;1542.0;378.0;1766.0;;;;;;;;;;;1e94dfe26ca7480db53592b735a2840f;05ed5f07a70f407cb7133362ca938917;0ec86b3ed41243bc96662cff51a213a1;12f3c11dc3964e5bb12c55b728714f55;16d328782dff4a74b4ce00ed546ed618;259ce41766ff40f888f23bef44b02261;31e8abff3ca24002acba3ec78f9a47a0;40b1e48f8d34440c9bcc06789280abdb;477474eee3574ba3b4d6d27a34f319af;49cfb57c53ca444894463392b7aa0e1a
VHV Crue;14;55;8;1;0;2;13;1;3;5;0;;10;18;49;27;4;77;32;4;99;;1461.0;1459.0;953.0;1523.0;1611.0;402.0;1388.0;1622.0;446.0;;;;;;;;;;;;a93b3853d572461482ba7559994d90ce;0c746411a55444d39d98f74917343fac;19bb3304e39f44c1b4fc1b7996d5e659;239ee312f2b44caa84b553b1ea83c7a7;2dc8e2bcfb794f48a3dc149450df3fe9;3bbc29b32ebe44efac1725a102d24046;3f3cad9eaa564df3a156af736ffb9244;45e6e79eb0ec4109b5639dc09cc44227;4f692d25ab5f4375abcf1428a66643d2;
vL Skribouille;15;55;0;7;1;1;9;4;1;3;0;;92;4;19;56;4;10;42;3;55;;137.0;1481.0;1494.0;959.0;1737.0;1682.0;1466.0;1750.0;1122.0;;;;;;;;;;;;9eaa146d935347d1879ceb509324df98;022ec78c5ee348acabd4fbd8d7eaa293;0e2398a6b2aa4fd4bce3498f20ed63b7;1cf15780c9a24c5ba84fc29ff3ce4a5d;259ce41766ff40f888f23bef44b02261;31e8abff3ca24002acba3ec78f9a47a0;40b1e48f8d34440c9bcc06789280abdb;477474eee3574ba3b4d6d27a34f319af;4f692d25ab5f4375abcf1428a66643d2;
Secret_Mongraal;16;54;11;2;0;10;0;1;0;2;1;1;1;44;67;1;88;27;81;23;22;52;1507.0;1412.0;454.0;1681.0;304.0;1460.0;311.0;1418.0;1395.0;438.0;;;;;;;;;;;be95bae3ba6048098c37698d126929d9;0e2398a6b2aa4fd4bce3498f20ed63b7;19bb3304e39f44c1b4fc1b7996d5e659;1e953c618589461eb2554d7905ebe9a1;2be7f903e83c4cc9b4095910397b836c;2da2c97d34b748fdb2b80899b4b5481a;3a566fa9e88243bca8370e59a3801f76;3bbc29b32ebe44efac1725a102d24046;4437c56e93224216a767f00b07b7a693;4bc5ca2e5a64453f85246aeae444093b
Fnatic Motor;17;54;0;1;1;0;0;2;0;5;4;;91;6;1;19;1;76;22;15;13;;179.0;1623.0;1736.0;1411.0;1668.0;561.0;1680.0;1465.0;1518.0;;;;;;;;;;;;0c7e3010217842c4811247b5d374dbc7;04505922fdbc4e6f954d26f14f733689;100cda6696664fbb80fe8b34366c71f0;1e953c618589461eb2554d7905ebe9a1;2ba440596ae54c1ba63888fd43b10074;3a566fa9e88243bca8370e59a3801f76;3f3cad9eaa564df3a156af736ffb9244;45e6e79eb0ec4109b5639dc09cc44227;4ecbdf227b624a51ae1ee654747351cc;
Atlantis Magin;18;54;4;4;0;11;3;1;9;1;0;1;52;16;61;1;35;60;5;75;96;51;1088.0;1566.0;716.0;1685.0;1445.0;658.0;1848.0;373.0;172.0;652.0;;;;;;;;;;;8978b956397a42cf8117299295165054;0b09293e2cb54398a2ad57f665c5394d;174ca077f5194047a36a29ee09072e72;1e37f1d8370349f19d69d4cad90fc32a;2be7f903e83c4cc9b4095910397b836c;36bc36e9c98a4b45b392fb0f861b30b7;3f3cad9eaa564df3a156af736ffb9244;477474eee3574ba3b4d6d27a34f319af;48f76d410b9a4830a9443a8879fa96cb;4a61c9eefa8146a1b65c908a2d10df34
Not BadSniper;19;54;2;3;1;5;2;2;0;0;7;6;17;15;38;23;61;40;82;73;1;9;1410.0;1435.0;1358.0;1491.0;548.0;1239.0;449.0;385.0;1810.0;1753.0;;;;;;;;;;;00b2c2cb4bd74bf4acbc27146dee23a9;0c10342b4988493ab0fd3e89a7ef87df;191eb62697f44f39b49680dcd6a52139;2489595e6335476588813a11dda93831;2f050993ffb74a9aabde03320777a428;3575cd3166824f3884786795615883b1;40b1e48f8d34440c9bcc06789280abdb;41beb62f24d5446ebf866a58c36a5547;44428206fcde4f57b0d1db81e58e2ae3;4ecbdf227b624a51ae1ee654747351cc
Fledermoys;20;54;2;2;0;0;4;0;1;4;1;;4;16;23;97;2;83;17;1;3;;1496.0;1433.0;1428.0;371.0;1607.0;780.0;1465.0;1536.0;1815.0;;;;;;;;;;;;1ece9be1a0c44e838317165f34241d65;0c746411a55444d39d98f74917343fac;19bb3304e39f44c1b4fc1b7996d5e659;283be34460954342ab8984c3eb308cbe;2a7ff1c534134ef686231311144d34c6;3a566fa9e88243bca8370e59a3801f76;3bbc29b32ebe44efac1725a102d24046;4437c56e93224216a767f00b07b7a693;4ecbdf227b624a51ae1ee654747351cc;
Ghost Issa;21;53;5;0;1;10;0;2;5;1;1;;2;78;59;1;62;25;8;22;31;;1507.0;549.0;1139.0;1623.0;733.0;1560.0;1565.0;1613.0;1469.0;;;;;;;;;;;;be95bae3ba6048098c37698d126929d9;0e2398a6b2aa4fd4bce3498f20ed63b7;135e1ee4078c438dabe217d42314a7a9;1cf15780c9a24c5ba84fc29ff3ce4a5d;2aea6c237387481baaec605a915ef7e7;2f050993ffb74a9aabde03320777a428;3bbc29b32ebe44efac1725a102d24046;45e6e79eb0ec4109b5639dc09cc44227;4ecbdf227b624a51ae1ee654747351cc;
TQ Naranj1t0;22;53;1;0;3;1;2;0;10;3;1;5;64;55;61;60;5;65;1;17;32;2;697.0;732.0;702.0;532.0;1510.0;515.0;1527.0;1529.0;1482.0;1795.0;;;;;;;;;;;e5cabd0f54f144c387e7dfcf741f11e5;07a0b1dddd8b4f8cb15746b27b5ebb6b;0c0370eacb2f41f6af63c6a652262162;12f3c11dc3964e5bb12c55b728714f55;166c15b49b094c12b1ff37b10326fe5e;23bf959a513d4138abbbd6c1f27b1397;2953525e19fc4f50a666d06c74a8472d;3575cd3166824f3884786795615883b1;41beb62f24d5446ebf866a58c36a5547;48f76d410b9a4830a9443a8879fa96cb
G2 Tohaj;23;53;3;0;1;1;1;0;0;4;2;5;1;61;3;43;11;64;92;5;83;3;1527.0;934.0;1671.0;1368.0;1710.0;694.0;239.0;1502.0;246.0;1745.0;;;;;;;;;;;4debf6fb73a4496d80f1e717cf0ef3a7;0e2398a6b2aa4fd4bce3498f20ed63b7;166314732cbd4942a3e2877a0f0f4281;259ce41766ff40f888f23bef44b02261;2f050993ffb74a9aabde03320777a428;3f3cad9eaa564df3a156af736ffb9244;41beb62f24d5446ebf866a58c36a5547;4276e10b9e80460e83c0cbc1e2246d46;4a61c9eefa8146a1b65c908a2d10df34;4bc5ca2e5a64453f85246aeae444093b
Sigma SvendPro;24;52;0;6;3;0;3;0;3;1;1;;100;1;1;67;14;74;15;45;9;;969.0;1537.0;1637.0;570.0;1572.0;297.0;1465.0;1362.0;1538.0;;;;;;;;;;;;07c0ea5ef8ac4a6d97b9ba54af7c1de9;08a3003d363f4aea8e736def85b156f5;166314732cbd4942a3e2877a0f0f4281;259ce41766ff40f888f23bef44b02261;2aea6c237387481baaec605a915ef7e7;3575cd3166824f3884786795615883b1;36bc36e9c98a4b45b392fb0f861b30b7;4294f180e8cf4501bfad193233664ca3;48f76d410b9a4830a9443a8879fa96cb;
COOLER Gebber;25;52;2;1;6;1;3;8;1;2;;;24;26;5;21;37;1;37;14;;;1304.0;1403.0;1607.0;1647.0;1329.0;1735.0;1348.0;1459.0;;;;;;;;;;;;;7e0f097ea10c4326ba755c10213c25a9;0bc82c7fcae442e8b4a7066c5535b139;1850e9eeb53f49069ea87588a06a9642;283be34460954342ab8984c3eb308cbe;31e8abff3ca24002acba3ec78f9a47a0;3f3cad9eaa564df3a156af736ffb9244;477474eee3574ba3b4d6d27a34f319af;4ecbdf227b624a51ae1ee654747351cc;;
egirl scolly;26;52;7;3;0;1;1;0;2;2;2;1;1;6;69;15;50;95;7;6;78;22;1551.0;1694.0;490.0;1543.0;1216.0;240.0;1661.0;1657.0;182.0;1546.0;;;;;;;;;;;8978b956397a42cf8117299295165054;0e2398a6b2aa4fd4bce3498f20ed63b7;1cf15780c9a24c5ba84fc29ff3ce4a5d;220d3bdbfbb946ea9efd96f652686777;2da2c97d34b748fdb2b80899b4b5481a;36bc36e9c98a4b45b392fb0f861b30b7;3a566fa9e88243bca8370e59a3801f76;4437c56e93224216a767f00b07b7a693;4bc5ca2e5a64453f85246aeae444093b;4ecbdf227b624a51ae1ee654747351cc
Troqz;27;52;3;0;0;3;0;3;0;1;1;;4;35;3;6;73;1;85;15;4;;1425.0;1401.0;1666.0;1580.0;393.0;1714.0;318.0;1504.0;1632.0;;;;;;;;;;;;39b99fa3a42444e28f1c7961ed083b80;0c746411a55444d39d98f74917343fac;191eb62697f44f39b49680dcd6a52139;283be34460954342ab8984c3eb308cbe;34969453878945998bec33f3b415d3cf;36bc36e9c98a4b45b392fb0f861b30b7;4294f180e8cf4501bfad193233664ca3;4437c56e93224216a767f00b07b7a693;4bc5ca2e5a64453f85246aeae444093b;
VHV Chapix.;28;51;1;0;9;5;1;4;0;4;0;2;91;56;1;10;65;15;32;57;74;8;192.0;656.0;1640.0;1558.0;675.0;1564.0;1639.0;752.0;389.0;1886.0;;;;;;;;;;;a93b3853d572461482ba7559994d90ce;03010ace2e7244d4a9a50dd9d064b25a;07ea1c690a4f435ab3704c7b30a294ef;166314732cbd4942a3e2877a0f0f4281;259ce41766ff40f888f23bef44b02261;2aea6c237387481baaec605a915ef7e7;36bc36e9c98a4b45b392fb0f861b30b7;41beb62f24d5446ebf866a58c36a5547;45e6e79eb0ec4109b5639dc09cc44227;48f76d410b9a4830a9443a8879fa96cb
oS Sops;29;51;2;3;2;1;0;0;4;5;2;6;27;12;18;67;67;19;15;3;81;23;1361.0;1472.0;1562.0;393.0;476.0;1448.0;1522.0;1630.0;356.0;1557.0;;;;;;;;;;;e5cabd0f54f144c387e7dfcf741f11e5;0ba9a115eb184515ac081c3a0a7f8189;19bb3304e39f44c1b4fc1b7996d5e659;262dce3e9adc4999bc51a8922d6d89dd;2a7ff1c534134ef686231311144d34c6;2d1cdd3d3e0a409a9376f78949f3fd04;39c08c4fa84f4f2792fafc8ecd42f7fe;4294f180e8cf4501bfad193233664ca3;4bc5ca2e5a64453f85246aeae444093b;4ecbdf227b624a51ae1ee654747351cc
S2V Harambe;30;51;2;0;0;4;3;0;3;6;2;0;3;86;99;8;7;85;41;3;4;55;1567.0;377.0;171.0;1652.0;1566.0;350.0;1130.0;1624.0;1667.0;1406.0;;;;;;;;;;;0016b289285646278a4f61dc55b04da5;0e1c7ffe2fcb419f8c28de2999a0ca77;100e7039d8fa489996658ff93e2563fe;135d1f15e379476ba3da7f8d0e9f3dd5;220d3bdbfbb946ea9efd96f652686777;2da2c97d34b748fdb2b80899b4b5481a;2f050993ffb74a9aabde03320777a428;3a566fa9e88243bca8370e59a3801f76;4437c56e93224216a767f00b07b7a693;4ecbdf227b624a51ae1ee654747351cc
dMIND.Crusti;31;51;3;0;2;3;5;0;1;1;2;;4;81;8;11;5;99;12;64;12;;1545.0;484.0;1457.0;1510.0;1614.0;392.0;1614.0;610.0;1706.0;;;;;;;;;;;;010ee6aa7dab4846ba61913648116eaa;0e2398a6b2aa4fd4bce3498f20ed63b7;1053f2ebc6f447be8dca342f9f78b563;1e953c618589461eb2554d7905ebe9a1;2be7f903e83c4cc9b4095910397b836c;3a566fa9e88243bca8370e59a3801f76;3bbc29b32ebe44efac1725a102d24046;45e6e79eb0ec4109b5639dc09cc44227;48f76d410b9a4830a9443a8879fa96cb;
BTL hawkers;32;50;3;4;5;2;0;5;0;2;4;;33;16;2;51;31;9;59;82;1;;1302.0;1432.0;1726.0;1074.0;1537.0;1600.0;576.0;339.0;1649.0;;;;;;;;;;;;a93b3853d572461482ba7559994d90ce;0b89faa9a5614eefa25ceb72bfaf237a;18e82f1e597e4eebb6db90eab40a0170;283be34460954342ab8984c3eb308cbe;2f050993ffb74a9aabde03320777a428;3bbc29b32ebe44efac1725a102d24046;45e6e79eb0ec4109b5639dc09cc44227;48f76d410b9a4830a9443a8879fa96cb;49cfb57c53ca444894463392b7aa0e1a;
PENTA Legxndz;33;50;1;7;5;3;0;3;0;2;0;2;34;1;4;13;54;49;81;9;75;51;1399.0;1589.0;1791.0;1508.0;725.0;1019.0;492.0;1510.0;207.0;1336.0;;;;;;;;;;;019099e8166b4c668f0fc50dd57cffa7;0c28212a4c0f457ba816261cb4e5ad80;1cf15780c9a24c5ba84fc29ff3ce4a5d;2aea6c237387481baaec605a915ef7e7;3575cd3166824f3884786795615883b1;3bbc29b32ebe44efac1725a102d24046;4294f180e8cf4501bfad193233664ca3;4437c56e93224216a767f00b07b7a693;4bc5ca2e5a64453f85246aeae444093b;4ecbdf227b624a51ae1ee654747351cc
DualMedia BlastR;34;50;2;1;5;4;3;2;5;0;;;12;16;2;13;8;29;19;76;;;1356.0;1387.0;1752.0;1497.0;1524.0;1616.0;1438.0;561.0;;;;;;;;;;;;;45754f31b96f42fc95764e6daf932bf0;0bc82c7fcae442e8b4a7066c5535b139;191eb62697f44f39b49680dcd6a52139;283be34460954342ab8984c3eb308cbe;31e8abff3ca24002acba3ec78f9a47a0;40b1e48f8d34440c9bcc06789280abdb;477474eee3574ba3b4d6d27a34f319af;4f692d25ab5f4375abcf1428a66643d2;;
jaspaay;35;50;5;3;3;5;1;5;1;1;0;0;2;14;87;4;38;5;67;77;89;77;1518.0;1644.0;305.0;1564.0;1433.0;1679.0;507.0;409.0;239.0;304.0;;;;;;;;;;;f7eb5fca6f9040b59817ae616a91d53a;0e2398a6b2aa4fd4bce3498f20ed63b7;1cf15780c9a24c5ba84fc29ff3ce4a5d;1e953c618589461eb2554d7905ebe9a1;2be7f903e83c4cc9b4095910397b836c;36bc36e9c98a4b45b392fb0f861b30b7;4294f180e8cf4501bfad193233664ca3;45e6e79eb0ec4109b5639dc09cc44227;477474eee3574ba3b4d6d27a34f319af;48f76d410b9a4830a9443a8879fa96cb
Solary Nîkof;36;49;8;5;3;0;3;2;3;2;;;1;2;25;51;26;37;22;59;;;1518.0;1782.0;1620.0;1358.0;1407.0;1379.0;1459.0;1198.0;;;;;;;;;;;;;f7eb5fca6f9040b59817ae616a91d53a;0e2398a6b2aa4fd4bce3498f20ed63b7;1e953c618589461eb2554d7905ebe9a1;2be7f903e83c4cc9b4095910397b836c;3575cd3166824f3884786795615883b1;40b1e48f8d34440c9bcc06789280abdb;477474eee3574ba3b4d6d27a34f319af;4f692d25ab5f4375abcf1428a66643d2;;
richart_;37;49;5;5;4;0;5;3;0;1;0;1;1;32;7;51;4;17;95;90;95;27;1472.0;1538.0;1732.0;1152.0;1644.0;1645.0;369.0;289.0;344.0;1580.0;;;;;;;;;;;c69ca744c3504dc284a272ce939076b6;0e2398a6b2aa4fd4bce3498f20ed63b7;1cf15780c9a24c5ba84fc29ff3ce4a5d;2aea6c237387481baaec605a915ef7e7;31e8abff3ca24002acba3ec78f9a47a0;40b1e48f8d34440c9bcc06789280abdb;48f76d410b9a4830a9443a8879fa96cb;49cfb57c53ca444894463392b7aa0e1a;4bc5ca2e5a64453f85246aeae444093b;4ecbdf227b624a51ae1ee654747351cc
Revert Fetow;38;49;8;1;4;2;0;0;2;0;1;4;2;73;1;14;87;88;45;80;38;6;1539.0;552.0;1753.0;1634.0;448.0;327.0;1033.0;378.0;1438.0;2181.0;;;;;;;;;;;9eaa146d935347d1879ceb509324df98;0e2398a6b2aa4fd4bce3498f20ed63b7;135e1ee4078c438dabe217d42314a7a9;239ee312f2b44caa84b553b1ea83c7a7;2f050993ffb74a9aabde03320777a428;31e8abff3ca24002acba3ec78f9a47a0;3575cd3166824f3884786795615883b1;3f3cad9eaa564df3a156af736ffb9244;41beb62f24d5446ebf866a58c36a5547;4a61c9eefa8146a1b65c908a2d10df34
CDP.;39;49;5;3;3;0;0;0;2;1;4;;7;21;1;75;24;46;47;13;15;;1432.0;1465.0;1641.0;382.0;1604.0;1070.0;1229.0;1509.0;1492.0;;;;;;;;;;;;2a2d7b3548d14de59d9bb48a4e221522;0c746411a55444d39d98f74917343fac;19bb3304e39f44c1b4fc1b7996d5e659;283be34460954342ab8984c3eb308cbe;2be7f903e83c4cc9b4095910397b836c;36bc36e9c98a4b45b392fb0f861b30b7;40b1e48f8d34440c9bcc06789280abdb;45e6e79eb0ec4109b5639dc09cc44227;4ecbdf227b624a51ae1ee654747351cc;
Twitter ChapoFR;40;49;2;6;1;0;7;2;1;0;3;;40;2;58;69;3;15;16;58;15;;1193.0;1621.0;892.0;618.0;1778.0;1501.0;1580.0;566.0;1767.0;;;;;;;;;;;;45754f31b96f42fc95764e6daf932bf0;0b09293e2cb54398a2ad57f665c5394d;19bb3304e39f44c1b4fc1b7996d5e659;220d3bdbfbb946ea9efd96f652686777;2880d5ae8ec14ea5a51f3eb03db0f472;34969453878945998bec33f3b415d3cf;40b1e48f8d34440c9bcc06789280abdb;48f76d410b9a4830a9443a8879fa96cb;4bc5ca2e5a64453f85246aeae444093b;
Adriaan XO;41;49;1;5;0;0;0;0;7;6;3;0;43;4;59;94;34;92;2;15;12;20;1285.0;1533.0;875.0;290.0;1372.0;141.0;1675.0;1609.0;1574.0;1446.0;;;;;;;;;;;c69ca744c3504dc284a272ce939076b6;0b72a17495e345a58a18c720026115f4;191eb62697f44f39b49680dcd6a52139;220d3bdbfbb946ea9efd96f652686777;239ee312f2b44caa84b553b1ea83c7a7;2d847b955380472faa10f6f5616b1276;2e9d9567752c40798ed2f5680b380172;3ec74ba4899c4236bf6d71ef20b02524;45e6e79eb0ec4109b5639dc09cc44227;4ecbdf227b624a51ae1ee654747351cc
KxwaiiCSC;42;49;0;7;2;0;1;6;2;0;3;1;82;4;25;86;32;3;14;97;37;6;315.0;1518.0;1558.0;367.0;1355.0;1518.0;1660.0;131.0;1422.0;1777.0;;;;;;;;;;;017977d2a5674b8b8188e2fd962aa0cc;04505922fdbc4e6f954d26f14f733689;1053f2ebc6f447be8dca342f9f78b563;1e953c618589461eb2554d7905ebe9a1;220d3bdbfbb946ea9efd96f652686777;2be7f903e83c4cc9b4095910397b836c;3a566fa9e88243bca8370e59a3801f76;4294f180e8cf4501bfad193233664ca3;4437c56e93224216a767f00b07b7a693;4bc5ca2e5a64453f85246aeae444093b
dMIND.teeq;43;48;5;0;4;1;0;0;3;1;9;;4;61;13;27;54;42;17;51;1;;1446.0;799.0;1487.0;1472.0;1160.0;1319.0;1493.0;903.0;1834.0;;;;;;;;;;;;1e94dfe26ca7480db53592b735a2840f;0c746411a55444d39d98f74917343fac;135e1ee4078c438dabe217d42314a7a9;220d3bdbfbb946ea9efd96f652686777;2da2c97d34b748fdb2b80899b4b5481a;365e8b21b77242e382778bfe9f9380e1;40bd0aa9b6f84ae0ac7c9aba28ef8ed7;4929d1278f614863a73550e66a49cb7f;4e9d2b10b43c4aa996d040a01c4ddd23;
