Player;Rank;Points;Kill(s) Game 1;Kill(s) Game 2;Kill(s) Game 3;Kill(s) Game 4;Kill(s) Game 5;Kill(s) Game 6;Kill(s) Game 7;Kill(s) Game 8;Kill(s) Game 9;Kill(s) Game 10;Position Game 1;Position Game 2;Position Game 3;Position Game 4;Position Game 5;Position Game 6;Position Game 7;Position Game 8;Position Game 9;Position Game 10;Time Game 1;Time Game 2;Time Game 3;Time Game 4;Time Game 5;Time Game 6;Time Game 7;Time Game 8;Time Game 9;Time Game 10;Time Lobby 1;Time Lobby 2;Time Lobby 3;Time Lobby 4;Time Lobby 5;Time Lobby 6;Time Lobby 7;Time Lobby 8;Time Lobby 9;Time Lobby 10;Game Id 1;Game Id 2;Game Id 3;Game Id 4;Game Id 5;Game Id 6;Game Id 7;Game Id 8;Game Id 9;Game Id 10
FA Cloaked-;522;31;0;1;4;0;0;2;0;1;1;1;87;40;7;98;55;15;83;18;13;23;347.0;1273.0;1523.0;258.0;769.0;1566.0;391.0;1612.0;1577.0;1780.0;;;;;;;;;;;00b2c2cb4bd74bf4acbc27146dee23a9;048b9b1cde624e5e82a6cf9103cd419d;0dd3dd9f6f3d43ffb9a39d707f6447d1;1d95bdeb5db745ee89a69a215f66aed6;1e37f1d8370349f19d69d4cad90fc32a;242f4e4184c54567befb25d7a178d449;30ecb9512a624c20a051bc7812f08b81;35807f68dc4640e5822e714c7f9bd9b8;41bac650e765475a987be3e9e6844925;49cfb57c53ca444894463392b7aa0e1a
Twitch LewzFN;523;31;0;2;2;0;1;0;3;0;0;1;83;14;49;75;14;53;4;6;49;38;257.0;1394.0;1278.0;394.0;1506.0;1002.0;1746.0;1683.0;634.0;1038.0;;;;;;;;;;;2a2d7b3548d14de59d9bb48a4e221522;031dc1850357448387ac63441f86d903;0e1c7ffe2fcb419f8c28de2999a0ca77;1a41f14a3cdc4505bbd19f8b90bd707c;1de9d5068a6c4f86a3a1ff489760ac40;2aea6c237387481baaec605a915ef7e7;31a3190437c74484a14252566c8679cb;40bd0aa9b6f84ae0ac7c9aba28ef8ed7;48f76d410b9a4830a9443a8879fa96cb;4bc5ca2e5a64453f85246aeae444093b
Twitch Pasjidadi;524;31;4;0;0;0;0;0;0;4;0;1;9;86;95;54;20;59;34;2;70;5;1378.0;425.0;331.0;1087.0;1459.0;593.0;1934.0;1651.0;263.0;1570.0;;;;;;;;;;;be95bae3ba6048098c37698d126929d9;0c746411a55444d39d98f74917343fac;100e7039d8fa489996658ff93e2563fe;135d1f15e379476ba3da7f8d0e9f3dd5;1d95bdeb5db745ee89a69a215f66aed6;2953525e19fc4f50a666d06c74a8472d;3139ca39721c43329f0bf2932730b6c2;3d3ce7b55065495a9315eb897d7ee5a8;468d87c4441b4607a821d084fa369e0a;48366ea6f32d4bbdb795027ee53c6684
Ditrхх;525;31;2;1;1;0;2;0;3;0;0;0;10;68;8;91;5;74;12;94;47;61;1399.0;926.0;1681.0;338.0;1726.0;366.0;1626.0;366.0;1137.0;743.0;;;;;;;;;;;b1190d28d41a4328b5ac559d765fff1a;0c3e2f38b7db4d29907019879f70133b;15d2f5057ba24e6c838dad6ca2b93a36;23bf959a513d4138abbbd6c1f27b1397;2880d5ae8ec14ea5a51f3eb03db0f472;34969453878945998bec33f3b415d3cf;36bc36e9c98a4b45b392fb0f861b30b7;4294f180e8cf4501bfad193233664ca3;4437c56e93224216a767f00b07b7a693;4bc5ca2e5a64453f85246aeae444093b
Komi .;526;31;2;4;1;0;0;1;1;0;0;0;13;10;5;73;50;44;99;77;88;14;1436.0;1456.0;1612.0;434.0;1350.0;1006.0;124.0;268.0;203.0;1587.0;;;;;;;;;;;8978b956397a42cf8117299295165054;0c3e2f38b7db4d29907019879f70133b;19bb3304e39f44c1b4fc1b7996d5e659;283be34460954342ab8984c3eb308cbe;2be7f903e83c4cc9b4095910397b836c;3575cd3166824f3884786795615883b1;3ec74ba4899c4236bf6d71ef20b02524;3f3cad9eaa564df3a156af736ffb9244;40b1e48f8d34440c9bcc06789280abdb;41beb62f24d5446ebf866a58c36a5547
iG.Novāsheu;527;31;0;1;0;2;2;0;0;1;2;;22;4;11;20;6;62;84;36;51;;1364.0;1543.0;1530.0;1526.0;1566.0;699.0;271.0;1393.0;1086.0;;;;;;;;;;;;8978b956397a42cf8117299295165054;0bbc242f75584808b24a333763d8594b;19bb3304e39f44c1b4fc1b7996d5e659;2880d5ae8ec14ea5a51f3eb03db0f472;31e8abff3ca24002acba3ec78f9a47a0;40b1e48f8d34440c9bcc06789280abdb;4294f180e8cf4501bfad193233664ca3;4437c56e93224216a767f00b07b7a693;4c0f744e7df048e3b5cedf36be7bcfaa;
Hestia Azrog;528;31;0;0;2;2;0;0;0;3;0;1;82;59;13;22;28;68;13;23;83;3;475.0;841.0;1425.0;1459.0;1495.0;552.0;1512.0;1511.0;222.0;1745.0;;;;;;;;;;;b1190d28d41a4328b5ac559d765fff1a;05ed5f07a70f407cb7133362ca938917;0b89faa9a5614eefa25ceb72bfaf237a;1850e9eeb53f49069ea87588a06a9642;259ce41766ff40f888f23bef44b02261;2eda58c1a13f4e7ea48ec50d7f99b35b;34e205da679d4117be70efb5a6e24c24;41ab078e01a64f4c897466610bac7371;48ad294aea294fb89e4a870dc35ad3b2;4a340978f3d641d4acb83b711ae8e0d8
dMIND.artór;529;31;2;1;0;1;0;0;1;0;0;3;17;19;77;79;52;55;3;7;83;8;1411.0;1392.0;328.0;402.0;868.0;802.0;1625.0;1571.0;277.0;1522.0;;;;;;;;;;;8978b956397a42cf8117299295165054;0c10342b4988493ab0fd3e89a7ef87df;1850e9eeb53f49069ea87588a06a9642;1cda681a43904abc96f85ca9d636ff24;1ea04f63f4a34fd0a1d3da03addb8428;274c5f0e67724832a4d8ef94adf0ae80;2d109b4a196b446c82168942435559c3;3a588d394095400184aed2f946628ac4;43e1faa5b9964ebaa7b9a27280e08c4a;45d23c1b36e84d4dbb9bc20408b19c2f
Eon Purge;530;31;0;2;2;0;2;1;1;0;0;0;25;22;2;9;15;49;86;88;57;96;1424.0;1362.0;1573.0;1944.0;1746.0;1091.0;173.0;247.0;585.0;332.0;;;;;;;;;;;0160306bee654f7ab6bcdbec9096e83d;0c10342b4988493ab0fd3e89a7ef87df;1850e9eeb53f49069ea87588a06a9642;2a7ff1c534134ef686231311144d34c6;38247f8f9c6446048d897c8cf433d065;4294f180e8cf4501bfad193233664ca3;477474eee3574ba3b4d6d27a34f319af;48f76d410b9a4830a9443a8879fa96cb;49cfb57c53ca444894463392b7aa0e1a;4e9d2b10b43c4aa996d040a01c4ddd23
Thegcaza;531;31;0;0;0;1;4;0;0;0;0;2;43;4;44;15;63;100;51;8;94;3;1413.0;1520.0;1223.0;1431.0;620.0;232.0;879.0;1610.0;226.0;1701.0;;;;;;;;;;;02443f09b4084979be2cc24de5aa07ed;0c0370eacb2f41f6af63c6a652262162;193268e4d85a4620b49ce3c1c881b247;23a944d3ba094a25a5d7afb837d6331d;2fc5e6e38b584021beffa3db70e6cd11;35807f68dc4640e5822e714c7f9bd9b8;365e8b21b77242e382778bfe9f9380e1;3f449125a3e34ace904933620873d5c9;4771f1a96a9340c1a58a54b71bdfeaec;48ad294aea294fb89e4a870dc35ad3b2
